Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
110	17520	Hurst, Ted	TBB	WR	72.86	8	401		361		
111	17528	Coleman, Kevin	MIA	WR	73.07	22	663		97		
112	13116	Mahomes, Patrick	KCC	QB	73.64	4	198		1010		
113	17652	Randall, Adam	BAL	RB	73.74	16	408		286		
114	17548	Joly, Justin	FA	TE	74.01	11	449		157		
116	17685	Heidenreich, Eli	PIT	RB	74.55	21	430		148		
117	16222	Kraft, Tucker	GBP	TE	74.75	12	235		912		
118	17542	Young, Colbie	CIN	WR	75.62	8	508		122		
120	17502	Cooper Jr., Omar	NYJ	WR	75.72	1	292		523		
121	14085	Pollard, Tony	TEN	RB	76.35	7	238		1044		
122	17507	Branch, Zachariah	ATL	WR	76.49	8	346		327		
124	16614	Harrison Jr., Marvin	ARI	WR	76.84	5	229		1040		
125	13299	Kittle, George	SFO	TE	77.54	5	292		1042		
127	17521	Thomas, Zavion	CHI	WR	78.02	6	463		258		
129	12611	Goff, Jared	DET	QB	78.51	2	233		991		
131	17466	Beck, Carson	ARI	QB	79.42	3	306		317		
132	13163	Godwin, Chris	TBB	WR	79.84	2	244		1005		
133	17476	Singleton, Nicholas	TEN	RB	80.33	6	308		467		
134	17481	Claiborne, Demond	MIN	RB	80.39	13	392		342		
135	14102	Metcalf, DK	PIT	WR	80.95	3	248		1028		
137	16618	Thomas Jr., Brian	JAC	WR	81.18	11	261		975		
138	16214	LaPorta, Sam	DET	TE	81.51	11	246		943		
141	17032	Dart, Jaxson	NYG	QB	82.53	2	238		909		
142	17506	Bell, Chris	MIA	WR	82.58	6	327		459		
143	17478	Allen, Kaytron	WAS	RB	82.69	10	323		394		
144	17511	Fields, Malachi	NYG	WR	82.90	7	367		440		
145	16597	Brooks, Jonathon	CAR	RB	83.03	4	252		979		
146	17499	Lemon, Makai	PHI	WR	83.21	1	291		1060		
147	15698	Purdy, Brock	SFO	QB	83.29	3	205		990		
148	17541	Brown, Barion	NOS	WR	83.58	16	382		127		
150	17514	Stribling, De'Zhaun	SFO	WR	84.45	2	249		1123		
151	17103	Fannin, Harold	CLE	TE	84.50	7	246		894		
152	17462	Mendoza, Fernando	LVR	QB	84.53	1	299		694		
153	11244	Kelce, Travis	KCC	TE	85.46	3	278		996		
154	13674	Goedert, Dallas	PHI	TE	85.55	14	193		985		
155	14823	Dowdle, Rico	PIT	RB	85.77	2	249		951		
156	16206	Wilson, Michael	ARI	WR	85.84	6	247		920		
157	17068	Harvey, RJ	DEN	RB	86.33	3	314		972		
158	14800	Dobbins, J.K.	DEN	RB	86.92	8	252		1015		
160	17498	Tyson, Jordyn	NOS	WR	87.98	2	311		835		
161	17501	Concepcion, KC	CLE	WR	88.15	2	312		1025		
162	17475	McGowan, Seth	IND	RB	88.20	21	409		289		
163	15261	Hubbard, Chuba	CAR	RB	88.76	5	272		938		
165	15768	Pierce, Alec	IND	WR	89.17	9	246		971		
167	17543	Sadiq, Kenyon	NYJ	TE	89.97	2	336		729		
169	17500	Boston, Denzel	CLE	WR	91.66	4	362		664		
170	17518	Allen, Cyrus	KCC	WR	91.99	5	277		547		
171	17477	Coleman, Jonah	DEN	RB	93.18	4	298		925		
172	17482	Washington Jr., Mike	LVR	RB	93.19	2	322		1040		
173	17599	Douglas, Caleb	MIA	WR	93.40	9	330		515		
177	17474	Johnson, Emmett	KCC	RB	95.60	4	366		669		
179	15255	Gainwell, Kenneth	TBB	RB	97.32	13	280		923		
180	14056	Murray, Kyler	MIN	QB	97.70	7	270		918		
183	12186	Diggs, Stefon	WAS	WR	99.64	9	243		960		
185	17485	Black, Kaelon	SFO	RB	99.77	11	273		677		
186	17517	Lane, Ja'Kobi	BAL	WR	99.81	8	350		677		
187	17256	Croskey-Merritt, Jacory	WAS	RB	100.15	11	280		912		
189	15972	Mason, Jordan	MIN	RB	100.51	9	266		910		
190	13590	Mayfield, Baker	TBB	QB	100.53	9	241		875		
191	14782	Love, Jordan	GBP	QB	100.95	10	269		844		
193	14842	Pittman, Michael	PIT	WR	101.36	6	229		864		
194	16593	Corum, Blake	LAR	RB	101.80	19	281		887		
196	17504	Daniels, CJ	LAR	WR	102.76	12	677		74		
197	16188	Johnston, Quentin	LAC	WR	103.32	17	281		877		
198	16187	Downs, Josh	IND	WR	103.39	5	286		847		
200	15798	Likely, Isaiah	NYG	TE	105.60	16	328		857		
201	13319	Jones, Aaron	MIN	RB	105.74	14	332		949		
