"ADP","Position","Player","Team","FFPC","Sleeper","10-Team","12-Team"
"117","TE-14","Jake Ferguson","DAL","-","-","10.09","10.09"
"118","TE-15","Dalton Schultz","HOU","-","-","10.10","10.10"
"119","WR-43","Jordan Addison","MIN","-","-","10.11","10.11"
"120","TE-16","George Kittle","SF","-","-","11.01","11.01"
"121","RB-35","Brian Robinson Jr.","ATL","-","-","11.02","11.02"
"122","TE-17","Juwan Johnson","NO","-","-","11.03","11.03"
"123","WR-44","Wan'Dale Robinson","TEN","-","-","11.04","11.04"
"124","TE-18","Brenton Strange","JAC","-","-","11.05","11.05"
"125","TE-19","Travis Kelce","KC","-","-","11.06","11.06"
"126","WR-45","Michael Pittman Jr.","PIT","-","-","11.07","11.07"
"127","TE-20","Kenyon Sadiq","NYJ","-","-","11.08","11.08"
"128","WR-46","Quentin Johnston","LAC","-","-","11.09","11.09"
"129","RB-36","Aaron Jones","MIN","-","-","11.10","11.10"
"130","RB-37","Kenneth Gainwell","TB","-","-","11.11","11.11"
"131","TE-21","Isaiah Likely","NYG","-","-","11.12","11.12"
"132","WR-47","Stefon Diggs","UNS","-","-","12.01","12.01"
"133","RB-38","Tyler Allgeier","ARI","-","-","12.02","12.02"
"134","WR-48","Romeo Doubs","NE","-","-","12.03","12.03"
"135","WR-49","Jayden Reed","GB","-","-","12.05","12.05"
"136","RB-39","Jacory Croskey-Merritt","WAS","-","-","12.06","12.06"
"137","WR-50","Khalil Shakir","BUF","-","-","12.07","12.07"
"138","WR-51","Xavier Worthy","KC","-","-","12.08","12.08"
"139","WR-52","Jauan Jennings","MIN","-","-","12.09","12.09"
"140","RB-40","Jadarian Price","SEA","-","-","12.10","12.10"
"141","RB-41","Zach Charbonnet","SEA","-","-","12.12","12.12"
"142","QB-28","Tua Tagovailoa","ATL","-","-","13.01","13.01"
"143","WR-53","Jayden Higgins","HOU","-","-","13.02","13.02"
"144","TE-22","T.J. Hockenson","MIN","-","-","13.03","13.03"
"145","RB-42","Woody Marks","HOU","-","-","13.04","13.04"
"146","WR-54","KC Concepcion","CLE","-","-","13.05","13.05"
"147","QB-29","Michael Penix Jr.","ATL","-","-","13.06","13.06"
"148","WR-55","Jalen Coker","CAR","-","-","13.09","13.09"
"149","RB-43","Tyrone Tracy Jr.","NYG","-","-","13.10","13.10"
"150","RB-44","Jordan Mason","MIN","-","-","13.11","13.11"
"151","WR-56","Josh Downs","IND","-","-","13.12","13.12"
"152","QB-30","Jacoby Brissett","ARI","-","-","14.03","14.03"
"153","TE-23","Chigoziem Okonkwo","WAS","-","-","14.04","14.04"
"154","QB-31","Shedeur Sanders","CLE","-","-","14.06","14.06"
"155","RB-45","Jonah Coleman","DEN","-","-","14.08","14.08"
"156","RB-46","Alvin Kamara","NO","-","-","14.10","14.10"
"157","RB-47","Tyjae Spears","TEN","-","-","14.12","14.12"
"158","RB-48","Rachaad White","WAS","-","-","15.01","15.01"
"159","WR-57","Tyreek Hill","UNS","-","-","15.03","15.03"
"161","WR-58","Deebo Samuel","UNS","-","-","15.05","15.05"
"162","WR-59","Omar Cooper Jr.","NYJ","-","-","15.06","15.06"
"163","RB-49","Dylan Sampson","CLE","-","-","15.07","15.07"
"164","WR-60","Denzel Boston","CLE","-","-","15.09","15.09"
"165","WR-61","Antonio Williams","WAS","-","-","15.10","15.10"
"166","WR-62","Travis Hunter","JAC","-","-","15.11","15.11"
"167","WR-63","Matthew Golden","GB","-","-","16.02","16.02"
"168","WR-64","Jerry Jeudy","CLE","-","-","16.03","16.03"
"169","QB-32","Geno Smith","NYJ","-","-","16.05","16.05"
"170","WR-65","Rashid Shaheed","SEA","-","-","16.06","16.06"
"171","WR-66","Adonai Mitchell","NYJ","-","-","16.07","16.07"
"172","WR-67","Kayshon Boutte","NE","-","-","16.08","16.08"
"173","WR-68","Jalen McMillan","TB","-","-","16.10","16.10"
"174","RB-50","Chris Rodriguez","JAC","-","-","16.12","16.12"
"175","RB-51","Jonathon Brooks","CAR","-","-","17.01","17.01"
"176","WR-69","Troy Franklin","DEN","-","-","17.02","17.02"
